epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8222,1.22679,2.85797,1.45478,0.85016,0.17631,0.35404,0.26661,1.05424,3.23734,1.23783,0.000408333,0.000408333,0.000408333
2,59.4438,1.15229,1.84767,1.31001,0.39695,0.57118,0.58872,0.37879,1.1921,2.5458,1.36529,0.000808665,0.000808665,0.000808665
3,87.6068,1.14479,1.66585,1.32901,0.50565,0.59445,0.60405,0.35968,1.39169,2.37283,1.57022,0.0011925,0.0011925,0.0011925
4,116.005,1.16462,1.56702,1.31966,0.63516,0.6292,0.6285,0.39556,1.29887,2.01766,1.46824,0.00117575,0.00117575,0.00117575
5,144.163,1.13782,1.47448,1.33277,0.59953,0.66058,0.68479,0.41769,1.2937,2.07942,1.49716,0.001151,0.001151,0.001151
6,172.292,1.12409,1.33881,1.28533,0.74481,0.70831,0.75297,0.50028,1.18932,1.54747,1.34343,0.00112625,0.00112625,0.00112625
7,200.416,1.10162,1.2605,1.2852,0.70792,0.6191,0.69187,0.47228,1.16553,1.72642,1.35827,0.0011015,0.0011015,0.0011015
8,228.528,1.10738,1.20262,1.28559,0.75599,0.75633,0.79791,0.52572,1.19194,1.46789,1.355,0.00107675,0.00107675,0.00107675
9,256.618,1.03334,1.09121,1.24281,0.81013,0.80573,0.82991,0.56791,1.07429,1.13661,1.26491,0.001052,0.001052,0.001052
10,284.818,1.05542,1.10558,1.24944,0.73572,0.74547,0.75444,0.51614,1.10454,1.37637,1.29206,0.00102725,0.00102725,0.00102725
11,313.176,1.0343,1.06384,1.23886,0.84797,0.78121,0.84836,0.5763,1.09807,1.17634,1.26067,0.0010025,0.0010025,0.0010025
12,341.427,1.02221,1.04558,1.23612,0.78329,0.75876,0.79924,0.53874,1.07651,1.1228,1.26673,0.00097775,0.00097775,0.00097775
