epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76695,1.72799,2.53414,1.88595,0.35152,0.36111,0.39253,0.30108,1.0622,2.63982,1.32028,0.00015003,0.00015003,0.00015003
2,15.0191,1.49973,1.75702,1.59639,0.81796,0.61111,0.65125,0.31476,1.08915,2.31173,1.26625,0.000313594,0.000313594,0.000313594
3,21.1605,1.47929,1.644,1.52682,0.30663,0.61111,0.35034,0.2048,1.38978,2.72961,1.44995,0.000473858,0.000473858,0.000473858
4,27.2131,1.51248,1.58666,1.5441,0.06849,0.66667,0.10709,0.04014,1.76592,8.27091,2.00763,0.000630821,0.000630821,0.000630821
5,33.2191,1.45693,1.61172,1.51601,0.13547,0.22222,0.14721,0.09675,2.19932,4.63375,2.16454,0.000784484,0.000784484,0.000784484
6,39.457,1.43906,1.50333,1.51486,0.65676,0.22222,0.23259,0.12948,1.69198,5.98644,1.82358,0.000934845,0.000934845,0.000934845
7,45.4543,1.42472,1.53898,1.47647,0.14669,0.13889,0.11121,0.03321,2.41552,9.03692,2.67539,0.00108191,0.00108191,0.00108191
8,51.5644,1.45077,1.49639,1.51682,0.06657,0.72222,0.08494,0.03392,2.09272,21.2248,2.3506,0.00122567,0.00122567,0.00122567
9,57.5632,1.43493,1.46729,1.48952,0.15767,0.69444,0.19243,0.05684,2.43949,12.78,2.61008,0.00136613,0.00136613,0.00136613
10,63.6244,1.41633,1.41799,1.4426,0.51985,0.25,0.04517,0.0157,2.33102,40.0149,2.50071,0.00150329,0.00150329,0.00150329
11,69.7402,1.51631,1.46398,1.57224,0.58763,0.11111,0.05782,0.02098,2.77591,3.31205,2.7733,0.00150197,0.00150197,0.00150197
12,75.7611,1.60662,1.5521,1.65012,0.69255,0.22222,0.19285,0.07163,2.32852,2.47606,2.47811,0.00148546,0.00148546,0.00148546
13,81.9068,1.47343,1.43539,1.52469,0.68507,0.27778,0.18972,0.09024,2.24182,2.59357,2.29837,0.00146896,0.00146896,0.00146896
14,87.8611,1.40328,1.32622,1.43242,0.78562,0.22222,0.29041,0.08443,2.47405,5.06136,2.77778,0.00145246,0.00145246,0.00145246
15,93.889,1.46496,1.31786,1.50137,0.35958,0.27778,0.30221,0.0671,2.54936,2.73482,2.35618,0.00143595,0.00143595,0.00143595
16,99.9749,1.47978,1.2736,1.47338,0.15957,0.19444,0.18603,0.08506,2.5473,2.63826,2.31628,0.00141945,0.00141945,0.00141945
