epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76244,1.83685,4.57799,2.2248,0.02426,0.66667,0.02108,0.01391,0.97317,6.62755,1.55181,6.668e-05,6.668e-05,6.668e-05
2,5.93939,1.83717,4.63756,2.24104,0.59843,0.61111,0.47488,0.32225,0.84159,3.82428,1.29132,0.000149844,0.000149844,0.000149844
3,8.33827,1.49906,2.94468,1.77203,0.36044,0.63889,0.45462,0.33245,0.97554,4.04223,1.32307,0.000232802,0.000232802,0.000232802
4,10.7107,1.56763,2.48076,1.73474,0.16073,0.41667,0.11125,0.04208,1.97592,8.80847,2.24746,0.000315554,0.000315554,0.000315554
5,12.9515,1.6041,2.07929,1.75593,0.14708,0.52778,0.15982,0.06001,2.0708,6.5501,2.54322,0.0003981,0.0003981,0.0003981
6,15.309,1.54657,1.94154,1.69907,0.19848,0.33333,0.14803,0.03592,2.52574,6.97516,3.32104,0.000480439,0.000480439,0.000480439
7,17.677,1.55922,1.75223,1.75226,0.103,0.30556,0.04837,0.011,2.64476,5.08649,3.12788,0.000562572,0.000562572,0.000562572
8,19.9945,1.42628,1.52898,1.64267,0.32141,0.42673,0.25028,0.09955,1.99329,4.16521,3.14565,0.000644498,0.000644498,0.000644498
9,22.3405,1.42909,1.55699,1.64301,0.22888,0.36111,0.16076,0.06047,1.9826,3.96116,3.04341,0.000726219,0.000726219,0.000726219
10,24.6629,1.41976,1.48851,1.58607,0.06907,0.38889,0.04912,0.01481,2.53371,3.97068,3.57613,0.000807733,0.000807733,0.000807733
11,26.912,1.46626,1.53212,1.69256,0.01186,0.05556,0.00293,0.00087,2.98757,6.6738,3.4733,0.00088904,0.00088904,0.00088904
12,29.3132,1.46673,1.40695,1.65219,0.0087,0.05556,0.00508,0.00174,3.2178,5.76453,3.39304,0.000970142,0.000970142,0.000970142
13,32.1068,1.41565,1.45901,1.59387,0.52227,0.05556,0.00611,0.00154,3.59481,6.25979,3.84253,0.00105104,0.00105104,0.00105104
14,34.5127,1.45701,1.40189,1.61623,0,0,0,0,5.10803,4.98136,6.27092,0.00113173,0.00113173,0.00113173
15,36.9054,1.5302,1.43098,1.659,0,0,0,0,4.65335,6.29429,5.5851,0.00121221,0.00121221,0.00121221
16,39.2212,1.52432,1.37293,1.62093,0.03342,0.25,0.02111,0.00475,3.27608,6.32693,4.0207,0.00129248,0.00129248,0.00129248
17,41.5844,1.4773,1.25318,1.6115,0,0,0,0,4.26798,11.4948,6.31334,0.00137255,0.00137255,0.00137255
18,43.9597,1.5484,1.44062,1.66834,0.00015,0.02778,9e-05,3e-05,3.85548,19.6596,6.23747,0.00145242,0.00145242,0.00145242
19,46.1433,1.60897,1.47732,1.70877,0.00014,0.02778,8e-05,6e-05,4.06848,25.6151,6.63943,0.00153208,0.00153208,0.00153208
